日付,陽性者数（日別）,陽性者数（累計）　,入院中等,中等・軽症,重症,死亡（累計）,"治癒確認（退院など）
（累計）"
2022/3/27,186,105489,5554,5548,6,849,93708
2022/3/28,793,106282,5158,5151,7,855,94359
2022/3/29,701,106983,5738,5733,5,855,94404
2022/3/30,636,107619,5404,5399,5,857,95415
2022/3/31,567,108186,5616,5608,8,859,95863
2022/4/1,684,108870,6129,6122,7,860,95868
2022/4/2,462,109332,5974,5966,8,860,96678
2022/4/3,183,109515,6381,6373,8,861,96720
2022/4/4,782,110297,5665,5658,7,862,97729
2022/4/5,866,111163,5767,5759,8,863,98305
2022/4/6,742,111905,6536,6529,7,865,98350
2022/4/7,604,112509,6705,6700,5,866,98898
2022/4/8,694,113203,6320,6315,5,867,99906
2022/4/9,575,113778,6486,6481,5,867,100359
2022/4/10,235,114013,6303,6298,5,867,101025
2022/4/11,913,114926,6059,6053,6,867,101606
2022/4/12,865,115791,6246,6237,9,868,102136
2022/4/13,682,116473,6625,6616,9,869,102684
2022/4/14,582,117055,6734,6727,7,869,103247
2022/4/15,581,117636,6505,6498,7,870,104082
2022/4/16,358,117994,6967,6959,8,870,104155
2022/4/17,139,118133,5676,5668,8,871,105443
2022/4/18,675,118808,6181,6175,6,871,105486
2022/4/19,650,119458,5481,5477,4,871,106737
2022/4/20,605,120063,6073,6067,6,872,106801
2022/4/21,497,120560,5440,5433,7,872,107993
2022/4/22,564,121124,5475,5468,7,872,108544
2022/4/23,442,121566,5854,5851,3,872,108614
2022/4/24,149,121715,5070,5064,6,872,109783
2022/4/25,709,122424,4719,4713,6,873,110385
2022/4/26,587,123011,4691,4687,4,874,110935
2022/4/27,507,123518,4791,4788,3,874,111458
2022/4/28,438,123956,4944,4941,3,874,111852
2022/4/29,136,124092,4925,4923,2,874,112238
2022/4/30,359,124451,4601,4599,2,874,112733
2022/5/1,149,124600,4499,4497,2,875,113144
2022/5/2,556,125156,4123,4119,4,875,113700
2022/5/3,235,125391,3853,3850,3,875,114324
2022/5/4,201,125592,3771,3768,3,875,114759
2022/5/5,171,125763,3498,3495,3,875,115206
2022/5/6,740,126503,3181,3178,3,878,115729
2022/5/7,514,127017,3380,3377,3,878,116149
2022/5/8,165,127182,3432,3429,3,878,116610
2022/5/9,759,127941,3134,3131,3,880,117078
2022/5/10,603,128544,3500,3495,5,880,117377
2022/5/11,498,129042,3854,3849,5,880,117644
2022/5/12,506,129548,3911,3907,4,881,118008
2022/5/13,570,130118,4139,4133,6,881,118288
2022/5/14,353,130471,4350,4345,5,881,118624
2022/5/15,168,130639,4362,4359,3,881,118980
2022/5/16,660,131299,4176,4171,5,881,119297
2022/5/17,531,131830,4370,4368,2,883,119674
2022/5/18,494,132324,4364,4361,3,883,120167
2022/5/19,443,132767,4402,4400,2,884,120623
2022/5/20,433,133200,4452,4450,2,884,121024
2022/5/21,309,133509,4415,4413,2,884,121454
2022/5/22,149,133658,4258,4256,2,885,121886
2022/5/23,551,134209,3925,3922,3,886,122401
2022/5/24,443,134652,4107,4104,3,887,122750
2022/5/25,358,135010,4036,4033,3,888,123264
2022/5/26,320,135330,3998,3997,1,888,123600
2022/5/27,320,135650,3846,3845,1,889,124069
2022/5/28,197,135847,3812,3811,1,889,124404
2022/5/29,87,135934,3445,3444,1,889,124950
2022/5/30,348,136282,3125,3125,0,889,125372
2022/5/31,252,136534,3052,3052,0,889,125780
2022/6/1,245,136779,2878,2878,0,890,126174
2022/6/2,197,136976,2773,2773,0,890,126486
2022/6/3,248,137224,2600,2600,0,890,126876
2022/6/4,142,137366,2520,2520,0,890,127175
2022/6/5,82,137448,2399,2399,0,890,127437
2022/6/6,289,137737,2075,2075,0,890,127848
2022/6/7,231,137968,2025,2024,1,890,128151
2022/6/8,194,138162,2035,2035,0,890,128389
2022/6/9,218,138380,2029,2028,1,891,128593
2022/6/10,193,138573,1991,1990,1,891,128828
2022/6/11,129,138702,1976,1975,1,891,129010
2022/6/12,79,138781,1864,1863,1,891,129251
2022/6/13,263,139044,1729,1728,1,891,129458
2022/6/14,229,139273,1771,1770,1,892,129674
2022/6/15,185,139458,1838,1837,1,892,129831
2022/6/16,159,139617,1827,1827,0,892,130014
2022/6/17,186,139803,1792,1788,4,892,130195
2022/6/18,138,139941,1784,1780,4,892,130380
2022/6/19,65,140006,1703,1699,4,893,130592
2022/6/20,248,140254,1566,1562,4,893,130795
2022/6/21,198,140452,1655,1651,4,893,130948
2022/6/22,222,140674,1675,1672,3,893,131120
2022/6/23,229,140903,1789,1785,4,893,131241
2022/6/24,246,141149,1792,1788,4,893,131453
2022/6/25,202,141351,1849,1845,4,893,131610
2022/6/26,106,141457,1851,1848,3,893,131796
2022/6/27,357,141814,1761,1757,4,893,131987
2022/6/28,358,142172,1969,1968,1,893,132142
2022/6/29,347,142519,2139,2138,1,893,132287
2022/6/30,357,142876,2276,2275,1,893,132460
2022/7/1,401,143277,2493,2493,0,893,132611
2022/7/2,300,143577,2634,2634,0,893,132815
2022/7/3,157,143734,2750,2750,0,893,133018
2022/7/4,643,144377,2684,2684,0,893,133200
2022/7/5,654,145031,3301,3300,1,893,133259
2022/7/6,682,145713,3767,3765,2,893,133408
2022/7/7,656,146369,4027,4026,1,893,133755
2022/7/8,840,147209,4279,4278,1,893,134095
2022/7/9,677,147886,4592,4591,1,893,134370
2022/7/10,358,148244,4867,4866,1,893,134705
2022/7/11,1484,149728,4711,4709,2,893,135043
2022/7/12,1500,151228,5468,5466,2,893,135380
2022/7/13,1542,152770,7145,7144,1,893,135754
2022/7/14,1406,154176,8276,8272,4,895,136198
2022/7/15,1741,155917,9272,9268,4,895,136587
2022/7/16,1425,157342,10447,10443,4,895,137021
2022/7/17,717,158059,11243,11239,4,895,137631
2022/7/18,577,158636,11239,11235,4,895,138315
2022/7/19,3666,162302,11185,11181,4,895,138952
2022/7/20,3187,165489,13170,13163,7,899,139754
2022/7/21,2731,168220,13628,13624,4,901,141293
2022/7/22,3368,171588,15745,15739,6,901,142449
2022/7/23,2447,174035,18526,18520,6,902,142676
2022/7/24,988,175023,20001,19995,6,902,143822
2022/7/25,4347,179370,20195,20188,7,903,145034
2022/7/26,3799,183169,21576,21570,6,906,146536
2022/7/27,3559,186728,23839,23832,7,908,147810
2022/7/28,3106,189834,25634,25625,9,909,149294
2022/7/29,3667,193501,27123,27112,11,910,151064
2022/7/30,2592,196093,28285,28275,10,912,153064
2022/7/31,925,197018,29077,29067,10,913,155182
2022/8/1,4592,201610,28245,28235,10,922,157815
2022/8/2,4047,205657,29471,29458,13,923,159473
2022/8/3,3963,209620,30700,30688,12,927,161596
2022/8/4,3378,212998,26215,26202,13,929,168765
2022/8/5,4006,217004,29050,29037,13,929,169095
2022/8/6,2738,219742,29725,29712,13,936,171543
2022/8/7,1168,220910,29842,29829,13,943,174854
2022/8/8,4849,225759,30299,30286,13,944,176940
2022/8/9,4008,229767,31020,31006,14,952,179595
2022/8/10,3845,233612,31142,31128,14,956,183332
2022/8/11,1429,235041,31972,31958,14,956,186236
2022/8/12,3042,238083,34103,34089,14,962,187349
2022/8/13,2236,240319,34761,34745,16,966,189580
2022/8/14,1353,241672,35535,35521,14,970,191030
2022/8/15,2875,244547,36304,36288,16,977,191567
2022/8/16,3606,248153,38814,38797,17,980,191686
2022/8/17,3676,251829,41724,41707,17,987,191782
2022/8/18,3142,254971,26218,26201,17,992,210619
2022/8/19,3872,258843,29184,29170,14,1000,211370
2022/8/20,3020,261863,31843,31829,14,1003,211832
2022/8/21,1491,263354,35043,35029,14,1009,212132
2022/8/22,4212,267566,36463,36448,15,1016,212690
2022/8/23,3284,270850,25003,24981,22,1021,227446
2022/8/24,3043,273893,25328,25310,18,1025,230283
2022/8/25,2492,276385,25551,25536,15,1026,233183
2022/8/26,2808,279193,25413,25399,14,1031,236129
2022/8/27,2164,281357,24698,24683,15,1033,239536
2022/8/28,893,282250,23664,23649,15,1040,242776
2022/8/29,2723,284973,22088,22074,14,1046,245719
2022/8/30,2092,287065,21172,21155,17,1051,248693
2022/8/31,1746,288811,21044,21031,13,1056,251283
2022/9/1,1447,290258,21724,21712,12,1064,252573
2022/9/2,1644,291902,18914,18903,11,1067,256754
2022/9/3,1249,293151,17856,17845,11,1072,259188
2022/9/4,614,293765,18687,18676,11,1075,259789
2022/9/5,1933,295698,15222,15210,12,1076,263998
2022/9/6,1431,297129,14770,14763,7,1079,265890
2022/9/7,1296,298425,14445,14439,6,1081,267868
2022/9/8,1139,299564,13940,13937,3,1088,269588
2022/9/9,1137,300701,10058,10056,2,1093,270135
2022/9/10,875,301576,8225,8223,2,1093,277547
2022/9/11,441,302017,6807,6805,2,1098,279869
2022/9/12,1546,303563,6784,6782,2,1105,280394
2022/9/13,1124,304687,7749,7745,4,1105,280674
2022/9/14,910,305597,9306,9302,4,1108,280364
2022/9/15,755,306352,7508,7504,4,1109,283088
2022/9/16,799,307151,7122,7117,5,1111,284170
2022/9/17,560,307711,6900,6895,5,1112,285209
2022/9/18,352,308063,6545,6540,5,1113,286148
2022/9/19,227,308290,5954,5949,5,1114,287006
2022/9/20,1074,309364,5300,5296,4,1115,287853
2022/9/21,715,310079,5229,5224,5,1116,288864
2022/9/22,721,310800,5168,5164,4,1117,289798
2022/9/23,201,311001,4986,4982,4,1117,290539
2022/9/24,633,311634,4567,4563,4,1118,291246
2022/9/25,216,311850,4504,4502,2,1118,291908
2022/9/26,6,311856,4207,4205,2,1119,292450
