計上日,メニュー名,中分類名,組価,供給実績数,最終供給時間
2022-08-01,ヘルシーサラダ,＊副菜,88,85,19:26
2022-08-01,海老クリームコロッケ,＊副菜,110,60,13:38
2022-08-01,春巻き,＊副菜,110,12,19:29
2022-08-01,肉じゃがコロッケ,＊副菜,110,28,18:16
2022-08-01,牛肉コロッケ,＊副菜,110,51,19:19
2022-08-01,炭焼きチキン,＊主菜,176,99,16:36
2022-08-01,餃子野菜あんかけ,＊主菜,176,120,19:18
2022-08-01,ブリ照り煮,＊主菜,176,83,19:21
2022-08-01,鯖塩焼き,＊主菜,176,4,11:33
2022-08-01,油淋鶏弁当,＊内製弁当,500,25,12:27
2022-08-01,鶏きも煮,＊副菜,88,54,17:32
2022-08-01,ほうれん草胡麻和え,＊副菜,66,263,19:30
2022-08-01,ゆず塩ちゃんこ,＊主菜,264,126,18:09
2022-08-01,豚野菜柚子胡椒ポン酢炒め,＊主菜,264,139,19:30
2022-08-01,トッピング温泉玉子,＊副菜,44,8,13:29
2022-08-01,冷奴,＊副菜,44,75,19:10
2022-08-01,かけうどん,＊麺類,209,11,13:31
2022-08-01,かけそば,＊麺類,209,3,13:00
2022-08-01,冷やしうどん,＊麺類,297,48,14:27
2022-08-01,冷やしそば,＊麺類,297,10,14:03
2022-08-01,冷やしおろしうどん,＊麺類,341,34,14:26
2022-08-01,冷やしおろしそば,＊麺類,341,10,14:15
2022-08-01,冷やし担々麺,＊麺類,473,56,14:12
2022-08-01,きつねうどん,＊麺類,297,10,12:51
2022-08-01,きつねそば,＊麺類,297,1,11:08
2022-08-01,Ｅチキン香草焼き,＊主菜,264,109,17:22
2022-08-01,Ｅチキンカツチリソース,＊主菜,220,121,19:26
2022-08-01,カレーライスＳ,＊ライスＦＦ,253,1,14:43
2022-08-01,Ｅハンバーグデミソース,＊主菜,220,139,19:32
2022-08-01,かき玉汁,＊汁・スープ,33,286,19:30
2022-08-01,うどん　大　６２,＊麺類,62,49,14:27
2022-08-01,そば　大,＊麺類,62,13,14:14
2022-08-01,Ｔ豪華のり弁～塩焼きそば＆コロッケ,＊内製弁当,450,25,12:34
2022-08-01,Ｔ和惣菜とお魚弁当（鯖みぞれ煮）,＊内製弁当,450,16,12:57
2022-08-01,Ｔ柚子胡椒チキン弁当,＊内製弁当,400,15,12:08
2022-08-01,鯖のマリネ,＊主菜,264,177,18:50
2022-08-01,生姜焼き豚,＊主菜,308,97,19:07
2022-08-01,ジャガイモのオリーブオイルサラダ,＊副菜,110,195,19:18
2022-08-01,温泉玉子,＊副菜,44,54,19:20
2022-08-01,茄子の天ぷら,＊副菜,110,270,17:55
2022-08-01,Ｅポークミンチカツ,＊主菜,220,5,19:30
2022-08-01,カレーライスＭ,＊ライスＦＦ,308,15,18:16
2022-08-01,カレーライスＬ,＊ライスＦＦ,363,3,16:52
2022-08-01,唐揚げカレーＳ,＊ライスＦＦ,352,2,18:51
2022-08-01,納豆,＊副菜,44,38,19:31
2022-08-01,味噌汁,＊汁・スープ,33,265,19:31
2022-08-01,ミニサラダ,＊副菜,44,160,19:11
2022-08-01,夏のさっぱり豚汁,＊汁・スープ,110,181,19:32
2022-08-01,そぼろきんぴらごぼう,＊副菜,88,116,19:31
2022-08-01,ゆずおろし肉団子,＊副菜,66,37,18:31
2022-08-01,ライスＬＬ,＊ライス単品,198,13,18:32
2022-08-01,ライスＬ,＊ライス単品,136,94,19:27
2022-08-01,ライスＭ,＊ライス単品,115,327,19:30
2022-08-01,ライスＳ,＊ライス単品,94,381,19:31
2022-08-01,ライスＳＳ,＊ライス単品,73,190,19:29
2022-08-01,フルーツヨーグルト,＊ドリンク・デザート,110,76,19:26
2022-08-01,焼きプリンタルト,＊ドリンク・デザート,66,49,19:29
2022-08-01,牛乳,＊ドリンク・デザート,85,9,17:27
2022-08-01,大学芋,＊ドリンク・デザート,88,80,18:44
2022-08-01,大学生協コーヒー,＊ドリンク・デザート,95,27,18:55
2022-08-01,苺とベリーのケーキ,＊ドリンク・デザート,220,20,19:19
2022-08-01,サーモンサラダ丼Ｌ,＊ライスＦＦ,517,38,19:30
2022-08-01,サーモンサラダ丼Ｍ,＊ライスＦＦ,462,92,19:32
2022-08-01,サーモンサラダ丼Ｓ,＊ライスＦＦ,407,28,19:27
2022-08-01,唐揚げ玉子あんかけ丼Ｌ,＊ライスＦＦ,462,28,19:29
2022-08-01,唐揚げ玉子あんかけ丼Ｍ,＊ライスＦＦ,407,57,19:31
2022-08-01,唐揚げ玉子あんかけ丼Ｓ,＊ライスＦＦ,352,9,19:27
2022-08-01,唐揚げカレーＬ,＊ライスＦＦ,462,25,19:28
2022-08-01,唐揚げカレーＭ,＊ライスＦＦ,407,29,19:21
2022-08-01,だし巻き,＊副菜,66,130,19:27
2022-08-01,巣ごもり玉子,＊副菜,88,237,19:32
